name,team,team name,division,year,qualified
Hunter Ruth,ALA,University of Alabama,1,2021,False
Jacob McNairy,ALA,University of Alabama,1,2021,False
Jake Eddington,ALA,University of Alabama,1,2021,False
Landon Green,ALA,University of Alabama,1,2021,False
Tyler Ras,ALA,University of Alabama,1,2021,True
William Freeman,ALA,University of Alabama,1,2021,True
Anthony Fusco,ALB,University at Albany,1,2021,False
Anthony Germinerio,ALB,University at Albany,1,2021,True
Camden Wypior,ALB,University at Albany,1,2021,False
Chase Carroll,ALB,University at Albany,1,2021,False
Connor Eisenmann,ALB,University at Albany,1,2021,True
Connor Takacs,ALB,University at Albany,1,2021,False
Cregg Scherrer,ALB,University at Albany,1,2021,True
Frank Furey,ALB,University at Albany,1,2021,False
Joe Kruszka,ALB,University at Albany,1,2021,False
Kenny McLean,ALB,University at Albany,1,2021,False
Kyle Menaker,ALB,University at Albany,1,2021,False
Marshall Winn,ALB,University at Albany,1,2021,False
Owen Birkman,ALB,University at Albany,1,2021,False
Ray Weber,ALB,University at Albany,1,2021,True
Rob Manetta,ALB,University at Albany,1,2021,False
Steven Turk,ALB,University at Albany,1,2021,False
Andrew Meadows,ALCN,Alcorn State University,1,2021,False
Devin Puckett,ALCN,Alcorn State University,1,2021,False
Diego Lopez-Molina,ALCN,Alcorn State University,1,2021,False
Garrett Palladino,ALCN,Alcorn State University,1,2021,False
George Osborne III,ALCN,Alcorn State University,1,2021,True
Joe Smith,ALCN,Alcorn State University,1,2021,False
Jose Fernandez,ALCN,Alcorn State University,1,2021,True
Kobe Head,ALCN,Alcorn State University,1,2021,True
Lane Gordon,ALCN,Alcorn State University,1,2021,True
Raylan Wagner,ALCN,Alcorn State University,1,2021,False
Tyler Smith,ALCN,Alcorn State University,1,2021,False
Xerian Ximines,ALCN,Alcorn State University,1,2021,False
Adiel Melendez,ALST,Alabama State University,1,2021,False
Alexander Castro,ALST,Alabama State University,1,2021,False
Austin King,ALST,Alabama State University,1,2021,False
Breon Pooler,ALST,Alabama State University,1,2021,True
Britt Buckelew,ALST,Alabama State University,1,2021,False
Isaias Hernandez,ALST,Alabama State University,1,2021,False
Jacknell Guzman,ALST,Alabama State University,1,2021,False
Jeremy Rivera,ALST,Alabama State University,1,2021,False
Jordan Gould,ALST,Alabama State University,1,2021,True
Nate Palmer,ALST,Alabama State University,1,2021,False
Osvaldo Mendez,ALST,Alabama State University,1,2021,True
Payton Harris,ALST,Alabama State University,1,2021,True
Ricardo Rivera,ALST,Alabama State University,1,2021,False
Ryan Velazquez,ALST,Alabama State University,1,2021,False
Trenton Jamison,ALST,Alabama State University,1,2021,False
Trevor Jurjevich,ALST,Alabama State University,1,2021,False
Cassius Shy,AMCC,"University of Maryland, Baltimore County",1,2021,False
Colin Purcell,AMCC,"University of Maryland, Baltimore County",1,2021,False
Daniel Nelson,AMCC,"University of Maryland, Baltimore County",1,2021,False
Dom Lopez,AMCC,"University of Maryland, Baltimore County",1,2021,False
Dylan Johnson,AMCC,"University of Maryland, Baltimore County",1,2021,False
Hayden Thomas,AMCC,"University of Maryland, Baltimore County",1,2021,True
Henry Bird,AMCC,"University of Maryland, Baltimore County",1,2021,False
JT Moeller,AMCC,"University of Maryland, Baltimore County",1,2021,False
Jaime Ramirez Jr.,AMCC,"University of Maryland, Baltimore County",1,2021,True
John Gaddis,AMCC,"University of Maryland, Baltimore County",1,2021,True
Justin Lewis,AMCC,"University of Maryland, Baltimore County",1,2021,False
Leo Perez,AMCC,"University of Maryland, Baltimore County",1,2021,False
Mason Hopkins,AMCC,"University of Maryland, Baltimore County",1,2021,False
Nick Urbantke,AMCC,"University of Maryland, Baltimore County",1,2021,False
Sebastian Mejia,AMCC,"University of Maryland, Baltimore County",1,2021,False
Tyler Miller,AMCC,"University of Maryland, Baltimore County",1,2021,False
AJ Stinson,APP,Appalachian State University,1,2021,False
Andrew Papp,APP,Appalachian State University,1,2021,False
Andrew Terrell,APP,Appalachian State University,1,2021,False
Austin Primm,APP,Appalachian State University,1,2021,False
Ben Peterson,APP,Appalachian State University,1,2021,False
Cam Roberts,APP,Appalachian State University,1,2021,False
Cole Hooper,APP,Appalachian State University,1,2021,False
Cy Smith,APP,Appalachian State University,1,2021,False
Eli Ellington,APP,Appalachian State University,1,2021,True
Evan Mauldin,APP,Appalachian State University,1,2021,False
Jason Cornatzer,APP,Appalachian State University,1,2021,False
Jeriah Henry,APP,Appalachian State University,1,2021,False
Noah Hall,APP,Appalachian State University,1,2021,True
Phillip Cole,APP,Appalachian State University,1,2021,False
Quinton Martinez,APP,Appalachian State University,1,2021,True
Shane Roberts,APP,Appalachian State University,1,2021,False
Trey Tujetsch,APP,Appalachian State University,1,2021,True
Tyler Tuthill,APP,Appalachian State University,1,2021,True
Austin Loeb,APSU,Austin Peay State University,1,2021,False
Collin Loose,APSU,Austin Peay State University,1,2021,False
Drew McIllwain,APSU,Austin Peay State University,1,2021,True
Greg Norman,APSU,Austin Peay State University,1,2021,False
Harley Gollert,APSU,Austin Peay State University,1,2021,True
Hayden Josephson,APSU,Austin Peay State University,1,2021,False
Keegan Mills,APSU,Austin Peay State University,1,2021,False
Kyle Nunn,APSU,Austin Peay State University,1,2021,False
Luke Brown,APSU,Austin Peay State University,1,2021,True
Matt Magrann,APSU,Austin Peay State University,1,2021,False
Michael Sturek,APSU,Austin Peay State University,1,2021,False
Nick Wellman,APSU,Austin Peay State University,1,2021,False
Nolan OShoney,APSU,Austin Peay State University,1,2021,False
Peyton Jula,APSU,Austin Peay State University,1,2021,True
Sebastian Martinez,APSU,Austin Peay State University,1,2021,True
Tucker Weaver,APSU,Austin Peay State University,1,2021,False
Austin Smith,ARIZ,University of Arizona,1,2021,False
Chandler Murphy,ARIZ,University of Arizona,1,2021,True
Chase Silseth,ARIZ,University of Arizona,1,2021,True
Dawson Netz,ARIZ,University of Arizona,1,2021,False
Garrett Irvin,ARIZ,University of Arizona,1,2021,True
George Arias Jr.,ARIZ,University of Arizona,1,2021,False
German Fajardo,ARIZ,University of Arizona,1,2021,False
Gil Luna,ARIZ,University of Arizona,1,2021,False
Ian Churchill,ARIZ,University of Arizona,1,2021,False
Jonathan Guardado,ARIZ,University of Arizona,1,2021,False
Preston Price,ARIZ,University of Arizona,1,2021,False
Quinn Flanagan,ARIZ,University of Arizona,1,2021,False
Randy Abshier,ARIZ,University of Arizona,1,2021,False
Riley Cooper,ARIZ,University of Arizona,1,2021,False
T.J. Nichols,ARIZ,University of Arizona,1,2021,True
Trevor Long,ARIZ,University of Arizona,1,2021,False
Vince Vannelle,ARIZ,University of Arizona,1,2021,False
Blake Adams,ARK,University of Arkansas,1,2021,False
Caden Monke,ARK,University of Arkansas,1,2021,False
Caleb Bolden,ARK,University of Arkansas,1,2021,False
Connor Noland,ARK,University of Arkansas,1,2021,False
Elijah Trest,ARK,University of Arkansas,1,2021,False
Evan Gray,ARK,University of Arkansas,1,2021,False
Evan Taylor,ARK,University of Arkansas,1,2021,False
Gabe Starks,ARK,University of Arkansas,1,2021,False
Heston Tole,ARK,University of Arkansas,1,2021,False
Jaxon Wiggins,ARK,University of Arkansas,1,2021,False
Kevin Kopps,ARK,University of Arkansas,1,2021,True
Kole Ramage,ARK,University of Arkansas,1,2021,False
Lael Lockhart,ARK,University of Arkansas,1,2021,True
Matthew Magre,ARK,University of Arkansas,1,2021,False
Miller Pleimann,ARK,University of Arkansas,1,2021,False
Nate Wohlgemuth,ARK,University of Arkansas,1,2021,False
Patrick Wicklander,ARK,University of Arkansas,1,2021,True
Peyton Pallette,ARK,University of Arkansas,1,2021,True
Ryan Costeiu,ARK,University of Arkansas,1,2021,False
Zack Morris,ARK,University of Arkansas,1,2021,False
Zebulon Vermillion,ARK,University of Arkansas,1,2021,False
Anthony LoRicco,ARMY,United States Military Academy,1,2021,True
Ben DeLaubell,ARMY,United States Military Academy,1,2021,False
Brian Dawson,ARMY,United States Military Academy,1,2021,False
Carson Smith,ARMY,United States Military Academy,1,2021,False
Connelly Early,ARMY,United States Military Academy,1,2021,False
Harry Flannery Jr.,ARMY,United States Military Academy,1,2021,False
Joel Rubin,ARMY,United States Military Academy,1,2021,False
Mike Ruggieri,ARMY,United States Military Academy,1,2021,False
Patrick Melampy,ARMY,United States Military Academy,1,2021,False
Ray Bartoli,ARMY,United States Military Academy,1,2021,True
Robbie Buecker,ARMY,United States Military Academy,1,2021,True
Sean Dennehy,ARMY,United States Military Academy,1,2021,False
Steven Graver,ARMY,United States Military Academy,1,2021,False
Tanner Gresham,ARMY,United States Military Academy,1,2021,False
Teddy Lepcio,ARMY,United States Military Academy,1,2021,False
Trevor Finan,ARMY,United States Military Academy,1,2021,False
Tyler Prichard,ARMY,United States Military Academy,1,2021,False
Andrew McGlynn,ARST,Arkansas State University,1,2021,False
Brandon Anderson,ARST,Arkansas State University,1,2021,False
Brandon Husdon,ARST,Arkansas State University,1,2021,True
Bryce Bartlett,ARST,Arkansas State University,1,2021,False
Carter Holt,ARST,Arkansas State University,1,2021,True
Jack Jumper,ARST,Arkansas State University,1,2021,False
Jaden Woolbright,ARST,Arkansas State University,1,2021,False
Jake Algee,ARST,Arkansas State University,1,2021,False
Josh Albat,ARST,Arkansas State University,1,2021,False
Kollin Stone,ARST,Arkansas State University,1,2021,False
Max Charlton,ARST,Arkansas State University,1,2021,False
Max Gehler,ARST,Arkansas State University,1,2021,False
Phillip Bryant,ARST,Arkansas State University,1,2021,False
Tristan Camp,ARST,Arkansas State University,1,2021,False
Tyler Jeans,ARST,Arkansas State University,1,2021,False
Walker Williams,ARST,Arkansas State University,1,2021,False
Will Gilmer,ARST,Arkansas State University,1,2021,False
Will Gross,ARST,Arkansas State University,1,2021,False
Will Nash,ARST,Arkansas State University,1,2021,True
Zech Jarrard,ARST,Arkansas State University,1,2021,False
Alexander Ogg,ASU,Arizona State University,1,2021,False
Blake Burzell,ASU,Arizona State University,1,2021,False
Blake Pivaroff,ASU,Arizona State University,1,2021,False
Boyd Vander Kooi,ASU,Arizona State University,1,2021,False
Brady Corrigan,ASU,Arizona State University,1,2021,False
Brock Peery,ASU,Arizona State University,1,2021,False
Bryce Barnett,ASU,Arizona State University,1,2021,False
Cam Dennie,ASU,Arizona State University,1,2021,False
Christian Bodlovich,ASU,Arizona State University,1,2021,False
Cooper Benson,ASU,Arizona State University,1,2021,False
Dom Cacchione,ASU,Arizona State University,1,2021,False
Erik Tolman,ASU,Arizona State University,1,2021,False
Ethan Long,ASU,Arizona State University,1,2021,False
Graham Osman,ASU,Arizona State University,1,2021,False
Jared Glenn,ASU,Arizona State University,1,2021,True
Jay Baggs,ASU,Arizona State University,1,2021,False
Joe Hauser,ASU,Arizona State University,1,2021,False
Justin Fall,ASU,Arizona State University,1,2021,True
Kai Murphy,ASU,Arizona State University,1,2021,False
Nick Wallerstedt,ASU,Arizona State University,1,2021,False
Seth Tomczak,ASU,Arizona State University,1,2021,False
Tyler Thornton,ASU,Arizona State University,1,2021,True
Will Levine,ASU,Arizona State University,1,2021,False
Blake Burkhalter,AUB,Auburn University,1,2021,False
Brooks Fuller,AUB,Auburn University,1,2021,False
Cam Hill,AUB,Auburn University,1,2021,False
Carson Skipper,AUB,Auburn University,1,2021,False
Carson Swilling,AUB,Auburn University,1,2021,False
Cody Greenhill,AUB,Auburn University,1,2021,True
Hayden Mullins,AUB,Auburn University,1,2021,False
Jack Owen,AUB,Auburn University,1,2021,True
Jack Sokol,AUB,Auburn University,1,2021,False
Joseph Gonzalez,AUB,Auburn University,1,2021,True
Mason Barnett,AUB,Auburn University,1,2021,False
Nate LaRue,AUB,Auburn University,1,2021,False
Peyton Glavine,AUB,Auburn University,1,2021,False
Richard Fitts,AUB,Auburn University,1,2021,False
Seb Thomas,AUB,Auburn University,1,2021,False
Trace Bright,AUB,Auburn University,1,2021,True
Will Morrison,AUB,Auburn University,1,2021,False
Andre Orselli,BALL,Ball State University,1,2021,False
Chayce McDermott,BALL,Ball State University,1,2021,True
Eliot Turnquist,BALL,Ball State University,1,2021,False
John Baker,BALL,Ball State University,1,2021,True
Lukas Jaksich,BALL,Ball State University,1,2021,True
Luke Schafer,BALL,Ball State University,1,2021,False
Mac Ayres,BALL,Ball State University,1,2021,False
Sam Klein,BALL,Ball State University,1,2021,False
Sloan Thomsen,BALL,Ball State University,1,2021,False
Tim Ewald,BALL,Ball State University,1,2021,False
Trennor O'Donnell,BALL,Ball State University,1,2021,False
Ty Johnson,BALL,Ball State University,1,2021,False
Ty Weatherly,BALL,Ball State University,1,2021,False
Tyler Ruetschle,BALL,Ball State University,1,2021,False
Tyler Schweitzer,BALL,Ball State University,1,2021,False
Zach Losey,BALL,Ball State University,1,2021,False
Adam Muirhead,BAY,Baylor University,1,2021,False
Andrew Owen,BAY,Baylor University,1,2021,False
Blake Helton,BAY,Baylor University,1,2021,True
Brooks Helmer,BAY,Baylor University,1,2021,False
Cam Caley,BAY,Baylor University,1,2021,False
Chandler Freeman,BAY,Baylor University,1,2021,False
Cole Stasio,BAY,Baylor University,1,2021,False
Drew Leach,BAY,Baylor University,1,2021,False
Grant Golomb,BAY,Baylor University,1,2021,False
Hambleton Oliver,BAY,Baylor University,1,2021,False
Hayden Kettler,BAY,Baylor University,1,2021,True
Jacob Ashkinos,BAY,Baylor University,1,2021,False
Jimmy Winston,BAY,Baylor University,1,2021,True
Logan Freeman,BAY,Baylor University,1,2021,False
Luke Boyd,BAY,Baylor University,1,2021,False
Luke Thompson,BAY,Baylor University,1,2021,False
Ryan Leckich,BAY,Baylor University,1,2021,False
Travis Hester,BAY,Baylor University,1,2021,False
Tyler Thomas,BAY,Baylor University,1,2021,True
Will Rigney,BAY,Baylor University,1,2021,False
Zac Childers,BAY,Baylor University,1,2021,False
Alex Stiegler,BC,Boston College,1,2021,True
Brad Lombardi,BC,Boston College,1,2021,False
Brian McMonagle,BC,Boston College,1,2021,False
Charlie Coon,BC,Boston College,1,2021,False
Daniel Baruch,BC,Boston College,1,2021,False
Emmet Sheehan,BC,Boston College,1,2021,True
Joe Vetrano,BC,Boston College,1,2021,False
Joey Mancini,BC,Boston College,1,2021,False
Joey Ryan,BC,Boston College,1,2021,False
Joey Walsh,BC,Boston College,1,2021,True
John West,BC,Boston College,1,2021,False
Jon Campbell Jr.,BC,Boston College,1,2021,False
Mason Pelio,BC,Boston College,1,2021,True
Max Gieg,BC,Boston College,1,2021,False
Michael Marzonie,BC,Boston College,1,2021,False
Ryan Smith,BC,Boston College,1,2021,False
Samrath Singh,BC,Boston College,1,2021,False
Will Hesslink,BC,Boston College,1,2021,False
Aaron Hubbell,BEL,Belmont University,1,2021,True
Andy Bean,BEL,Belmont University,1,2021,True
Carter Park,BEL,Belmont University,1,2021,False
Chandler Schultz,BEL,Belmont University,1,2021,False
Connor Anderson,BEL,Belmont University,1,2021,False
Dusty Baird,BEL,Belmont University,1,2021,False
Jack McLaughlin,BEL,Belmont University,1,2021,False
Jalen Borders,BEL,Belmont University,1,2021,False
Joshua South,BEL,Belmont University,1,2021,True
Justin Fowlkes,BEL,Belmont University,1,2021,False
Korey Bell,BEL,Belmont University,1,2021,False
Kory Winning,BEL,Belmont University,1,2021,False
Kyle Brennan,BEL,Belmont University,1,2021,True
Lane Lamberth,BEL,Belmont University,1,2021,False
Logan Bowen,BEL,Belmont University,1,2021,True
Michael Matter,BEL,Belmont University,1,2021,False
Stone Selby,BEL,Belmont University,1,2021,False
Will Jenkins,BEL,Belmont University,1,2021,False
Adam Spalding,BELL,Bellarmine University,1,2021,False
Anthony Ethington,BELL,Bellarmine University,1,2021,True
Blake Wheeler,BELL,Bellarmine University,1,2021,False
Devin Ecklar,BELL,Bellarmine University,1,2021,False
Deylen Miley,BELL,Bellarmine University,1,2021,True
Gavin Braunecker,BELL,Bellarmine University,1,2021,False
Jacob Nagel,BELL,Bellarmine University,1,2021,True
Matt Craven,BELL,Bellarmine University,1,2021,False
Nick Parrish,BELL,Bellarmine University,1,2021,False
Nolan Pender,BELL,Bellarmine University,1,2021,False
Reece Davis,BELL,Bellarmine University,1,2021,False
Ryan Johnson,BELL,Bellarmine University,1,2021,False
Shane Barringer,BELL,Bellarmine University,1,2021,False
Steven Thom,BELL,Bellarmine University,1,2021,False
Andrew Abrahamowicz,BGSU,Bowling Green State University,1,2021,True
David Stopp,BGSU,Bowling Green State University,1,2021,False
Gage Schenk,BGSU,Bowling Green State University,1,2021,True
Griffin Parrill,BGSU,Bowling Green State University,1,2021,False
Jeremy Spezia,BGSU,Bowling Green State University,1,2021,False
Joel Roediger,BGSU,Bowling Green State University,1,2021,False
Landon Willeman,BGSU,Bowling Green State University,1,2021,False
Levi Gazarek,BGSU,Bowling Green State University,1,2021,False
Logan Bell,BGSU,Bowling Green State University,1,2021,False
Nathan Lohmeier,BGSU,Bowling Green State University,1,2021,False
Peyton Wilson,BGSU,Bowling Green State University,1,2021,False
Rigo Ramos,BGSU,Bowling Green State University,1,2021,True
Tyler Hays,BGSU,Bowling Green State University,1,2021,False
Will MacLean,BGSU,Bowling Green State University,1,2021,False
Dom DiRado,BING,Binghamton University,1,2021,False
Dominic Buonadonna,BING,Binghamton University,1,2021,False
Douglas Goodwin,BING,Binghamton University,1,2021,False
Gabe Driscoll,BING,Binghamton University,1,2021,False
Jack Collins,BING,Binghamton University,1,2021,True
Jake Miller,BING,Binghamton University,1,2021,False
Josh Kopcza,BING,Binghamton University,1,2021,False
Justin Rosner,BING,Binghamton University,1,2021,False
Kyle Eskildsen,BING,Binghamton University,1,2021,False
Ryan Bryggman,BING,Binghamton University,1,2021,True
Tanner Beang,BING,Binghamton University,1,2021,False
Tanner Sinicki,BING,Binghamton University,1,2021,False
Thomas Babalis,BING,Binghamton University,1,2021,True
Brooks Gosswein,BRAD,Bradley University,1,2021,True
Dalton Mall,BRAD,Bradley University,1,2021,False
Eli Campbell,BRAD,Bradley University,1,2021,False
Grant Jausel,BRAD,Bradley University,1,2021,False
Jed Moscot,BRAD,Bradley University,1,2021,True
Kaden Krueger,BRAD,Bradley University,1,2021,False
Matt Hamilton,BRAD,Bradley University,1,2021,True
Nick King,BRAD,Bradley University,1,2021,False
Ryan Hodgett,BRAD,Bradley University,1,2021,False
Taylor Catton,BRAD,Bradley University,1,2021,True
Theo Denlinger,BRAD,Bradley University,1,2021,False
Troy Hickey,BRAD,Bradley University,1,2021,False
Austin Wainer,BRY,Bryant University,1,2021,False
Brett Wichrowski,BRY,Bryant University,1,2021,False
Christian Allegretti,BRY,Bryant University,1,2021,False
Jack Halbruner,BRY,Bryant University,1,2021,False
Jack Ipsen,BRY,Bryant University,1,2021,False
Jackson Harrigan,BRY,Bryant University,1,2021,False
John MacDonald,BRY,Bryant University,1,2021,False
Kevin Gould,BRY,Bryant University,1,2021,False
Liam LeVangie,BRY,Bryant University,1,2021,False
Logan Frasier,BRY,Bryant University,1,2021,False
Luke Garofalo,BRY,Bryant University,1,2021,False
Mike Randazzo,BRY,Bryant University,1,2021,False
Tyler Mattison,BRY,Bryant University,1,2021,True
Tyler Schoff,BRY,Bryant University,1,2021,True
Vito Morgese,BRY,Bryant University,1,2021,True
Will Treuel,BRY,Bryant University,1,2021,False
Andrew Funovits,BUCK,Bucknell University,1,2021,False
Anthony Casciola,BUCK,Bucknell University,1,2021,False
Austin Odell,BUCK,Bucknell University,1,2021,False
Brenden Tuttle,BUCK,Bucknell University,1,2021,False
Bryce Reimer,BUCK,Bucknell University,1,2021,False
Chris DiFiore,BUCK,Bucknell University,1,2021,True
Connor Vucovich,BUCK,Bucknell University,1,2021,False
Graeme Carroll,BUCK,Bucknell University,1,2021,False
Jacob Terwilliger,BUCK,Bucknell University,1,2021,False
Luke Allain,BUCK,Bucknell University,1,2021,False
Matt Ottsen,BUCK,Bucknell University,1,2021,False
Nicholas Sadd,BUCK,Bucknell University,1,2021,False
Renn Lints,BUCK,Bucknell University,1,2021,False
Theo Farynick,BUCK,Bucknell University,1,2021,False
Tyler Rigot,BUCK,Bucknell University,1,2021,False
Will Greer,BUCK,Bucknell University,1,2021,True
Alex Voss,BUT,Butler University,1,2021,False
Benji Downs,BUT,Butler University,1,2021,False
Connor Schultz,BUT,Butler University,1,2021,True
Cory Bosecker,BUT,Butler University,1,2021,False
Derek Drees,BUT,Butler University,1,2021,False
Grant Hurn,BUT,Butler University,1,2021,False
Greg Gilbert,BUT,Butler University,1,2021,False
Jack Myers,BUT,Butler University,1,2021,True
Jack Pilcher,BUT,Butler University,1,2021,False
Joe Graziano,BUT,Butler University,1,2021,False
John MacCauley,BUT,Butler University,1,2021,True
Jon Vore,BUT,Butler University,1,2021,False
Lukas Galdoni,BUT,Butler University,1,2021,False
Nick Eaton,BUT,Butler University,1,2021,True
Nick Miketinac,BUT,Butler University,1,2021,False
Ryan Schmit,BUT,Butler University,1,2021,False
Scott Wright,BUT,Butler University,1,2021,False
Ayden Callahan,BYU,Brigham Young University,1,2021,False
Boston Mabeus,BYU,Brigham Young University,1,2021,False
Bryce Robison,BYU,Brigham Young University,1,2021,True
Carter Smith,BYU,Brigham Young University,1,2021,True
Cooper McKeehan,BYU,Brigham Young University,1,2021,False
Cy Nielson,BYU,Brigham Young University,1,2021,False
Drew Zimmerman,BYU,Brigham Young University,1,2021,False
Easton Walker,BYU,Brigham Young University,1,2021,True
Jack Sterner,BYU,Brigham Young University,1,2021,True
Luke Sterner,BYU,Brigham Young University,1,2021,False
Mikade Johnson,BYU,Brigham Young University,1,2021,False
Mitch McIntyre,BYU,Brigham Young University,1,2021,False
Peyton Cole,BYU,Brigham Young University,1,2021,False
Reid McLaughlin,BYU,Brigham Young University,1,2021,False
Tyson Heaton,BYU,Brigham Young University,1,2021,False
Aaron Roberts,CAL,"University of California, Berkeley",1,2021,False
Ben Lake,CAL,"University of California, Berkeley",1,2021,False
Connor Oswalt,CAL,"University of California, Berkeley",1,2021,False
Dez Loessberg,CAL,"University of California, Berkeley",1,2021,False
Grant Holman,CAL,"University of California, Berkeley",1,2021,True
Ian Villers,CAL,"University of California, Berkeley",1,2021,False
Jack Wolger,CAL,"University of California, Berkeley",1,2021,False
Joe Ammirato,CAL,"University of California, Berkeley",1,2021,False
Joseph King,CAL,"University of California, Berkeley",1,2021,False
Josh White,CAL,"University of California, Berkeley",1,2021,True
Mitch Benson,CAL,"University of California, Berkeley",1,2021,False
Mitchell Scott,CAL,"University of California, Berkeley",1,2021,False
Nick Proctor,CAL,"University of California, Berkeley",1,2021,False
Paulshawn Pasqualotto,CAL,"University of California, Berkeley",1,2021,False
Reuben Drogin,CAL,"University of California, Berkeley",1,2021,False
Sam Stoutenborough,CAL,"University of California, Berkeley",1,2021,False
Sean Sullivan,CAL,"University of California, Berkeley",1,2021,True
Steven Zobac,CAL,"University of California, Berkeley",1,2021,False
Vaughn Mauterer,CAL,"University of California, Berkeley",1,2021,False
Aaron Rund,CAM,University of Cambridge,1,2021,False
Brendan Wright,CAM,University of Cambridge,1,2021,False
Cade Boxrucker,CAM,University of Cambridge,1,2021,False
Cade Kuehler,CAM,University of Cambridge,1,2021,True
Cam Cowan,CAM,University of Cambridge,1,2021,False
Cameron OBrien,CAM,University of Cambridge,1,2021,False
Chandler Williford,CAM,University of Cambridge,1,2021,False
Fred Sisco,CAM,University of Cambridge,1,2021,False
Jack Yusko,CAM,University of Cambridge,1,2021,False
Jonathan Beymer,CAM,University of Cambridge,1,2021,False
Jonathan Tyler,CAM,University of Cambridge,1,2021,False
Kevin Westlake,CAM,University of Cambridge,1,2021,False
Landry Moore,CAM,University of Cambridge,1,2021,False
Logan Heintzman,CAM,University of Cambridge,1,2021,False
Ryan Chasse,CAM,University of Cambridge,1,2021,True
Thomas Harrington,CAM,University of Cambridge,1,2021,True
Ty Cummings,CAM,University of Cambridge,1,2021,True
Zach Neto,CAM,University of Cambridge,1,2021,False
